"Year","Quarter","Group","Unit","Inflation Deflator","Adult Population","Working Age Population","Household Population","Real Total Factor Income","Real Factor Income Share","Real Factor Income Per Unit Growth","Real Factor Income Per Unit"
"2010","1","Bottom 50%","Households","0.7293746866666666","113073362.60500668","93122220.72188258","83767550.312239","1364726486141.2446","0.07960101640461391","-0.03502268263826451","16291.827575884701"
"2010","2","Bottom 50%","Households","0.7329327066666668","113433767.84754914","93347551.12461619","84142745.99027455","1369797387933.5227","0.07896903176620279","-0.035755983587319094","16279.44716817119"
"2010","3","Bottom 50%","Households","0.735147","113745812.16332854","93533047.72642045","84482123.64104398","1383924147700.6584","0.07846303747271516","-0.029725171195986916","16381.266095781548"
"2010","4","Bottom 50%","Households","0.7394533566666667","114034094.55229478","93699007.50938147","84803848.79229693","1372500376191.2634","0.07755348836387474","-0.041385024969919186","16184.411388601187"
"2011","1","Bottom 50%","Households","0.7432709566666666","114374163.68461348","93903023.2384129","85140743.27383132","1369297202914.4202","0.07727407842393987","-0.047406566015720554","16082.74899022739"
"2011","2","Bottom 50%","Households","0.74818051","114743836.61184311","94128956.10290043","85488135.36888665","1380258473839.4893","0.07730688648296409","-0.043682997015027925","16145.614451450925"
"2011","3","Bottom 50%","Households","0.7528075566666667","115060708.4898537","94311415.66739123","85796336.34959424","1376986140442.1562","0.07686203566397111","-0.04937742000221164","16049.474826423268"
"2011","4","Bottom 50%","Households","0.7537161533333334","115357219.78922719","94477073.79665156","86089459.97695634","1392703888271.5427","0.07690962135415474","-0.041800137029786126","16177.403001997332"
"2012","1","Bottom 50%","Households","0.7582897766666666","115690409.55851626","94606025.28063227","86356814.22894414","1426497826503.487","0.07706049014649449","-0.021587929939121155","16518.6481141099"
"2012","2","Bottom 50%","Households","0.7613438566666667","116046629.47613595","94720604.98936655","86614766.91506346","1410400600346.9116","0.07604788008986851","-0.035509747108305734","16283.60440812575"
"2012","3","Bottom 50%","Households","0.7652913899999999","116331967.33001274","94777584.37644787","86819826.22755778","1383594289236.9202","0.07528814271291691","-0.05607573930458827","15936.386299719969"
"2012","4","Bottom 50%","Households","0.7691701266666667","116587071.82622707","94810315.44495602","87002339.33069056","1384513482465.118","0.07457904306672336","-0.057430117060612955","15913.520177919205"
"2013","1","Bottom 50%","Households","0.7722471533333334","116897402.92422962","94911979.09633358","87266717.3294373","1388956600667.5564","0.07478001414224243","-0.05726998126321121","15916.22376975816"
"2013","2","Bottom 50%","Households","0.7744385566666668","117241770.44499856","95053008.30239844","87576888.57143794","1409554090971.4717","0.07574901217008877","-0.04667817714353618","16095.046466759031"
"2013","3","Bottom 50%","Households","0.7780881933333333","117537471.6116742","95154394.29199074","87850778.81573023","1413846001176.0818","0.07564217852462249","-0.04675663344031605","16093.721879707728"
"2013","4","Bottom 50%","Households","0.78273815","117811679.72876994","95238266.21526694","88108648.13661514","1416100134928.9534","0.0754459236196357","-0.0480311753638253","16072.203635825248"
"2014","1","Bottom 50%","Households","0.7859984433333334","118126175.95306869","95365249.41435902","88422343.13089639","1433447436360.533","0.075878823811138","-0.03978816851255346","16211.371307346188"
"2014","2","Bottom 50%","Households","0.7904499166666668","118470366.09701216","95521573.19050807","88771050.38312584","1451622254439.494","0.07560062745976193","-0.0314332437701195","16352.428502022405"
"2014","3","Bottom 50%","Households","0.7939010066666667","118753302.39722843","95628634.17457645","89073765.35288803","1472886999824.0078","0.07563172923642261","-0.020584624596498458","16535.587038324888"
"2014","4","Bottom 50%","Households","0.7952219833333333","119010366.49532974","95715062.35915893","89356923.3914675","1488367857638.0117","0.07596323253691735","-0.01342666076243347","16656.43579868522"
"2015","1","Bottom 50%","Households","0.7949394399999999","119310519.47562642","95820596.91953652","89621937.29082108","1494573652609.4133","0.07591086760551043","-0.012242594632377006","16676.426528915094"
"2015","2","Bottom 50%","Households","0.7992458333333333","119633625.13919131","95936622.6105618","89879000.6517275","1504726858985.6682","0.07615044974894306","-0.008376665084005025","16741.69548030847"
